"Worker ID","Link to Individual Worker Page","Number of HITs approved or rejected - Lifetime","Number of HITs approved - Lifetime","Your Lifetime approval rate","Number of HITs approved or rejected - Last 30 days","Number of HITs approved - Last 30 days","Your Last 30 days approval rate","Number of HITs approved or rejected - Last 7 days","Number of HITs approved - Last 7 days","Your Last 7 days approval rate","CURRENT BlockStatus","UPDATE BlockStatus","BlockReason"
"A12BRRFR5S7M11","https://master-requester.mturk.com/workers/A12BRRFR5S7M11","1","1","100.00%","1","1","100.00%","0","0","0.00%","Never Blocked","",""
"A161AJDHLJVCLZ","https://master-requester.mturk.com/workers/A161AJDHLJVCLZ","1","1","100.00%","1","1","100.00%","0","0","0.00%","Never Blocked","",""
"A17KIXJGFCB7ZQ","https://master-requester.mturk.com/workers/A17KIXJGFCB7ZQ","1","1","100.00%","1","1","100.00%","0","0","0.00%","Never Blocked","",""
"A191V8LNTTLHSA","https://master-requester.mturk.com/workers/A191V8LNTTLHSA","1","0","0.00%","1","0","0.00%","1","0","0.00%","Never Blocked","",""
"A1BVEXQ684HDEP","https://master-requester.mturk.com/workers/A1BVEXQ684HDEP","1","1","100.00%","1","1","100.00%","0","0","0.00%","Never Blocked","",""
"A1FYWRZTVA54C","https://master-requester.mturk.com/workers/A1FYWRZTVA54C","1","0","0.00%","1","0","0.00%","1","0","0.00%","Never Blocked","",""
"A1HPVZQZ7B4XAB","https://master-requester.mturk.com/workers/A1HPVZQZ7B4XAB","1","1","100.00%","1","1","100.00%","0","0","0.00%","Never Blocked","",""
"A1KMXHFW44QOLH","https://master-requester.mturk.com/workers/A1KMXHFW44QOLH","1","1","100.00%","1","1","100.00%","0","0","0.00%","Never Blocked","",""
"A1P0KZVJUL3GUH","https://master-requester.mturk.com/workers/A1P0KZVJUL3GUH","1","1","100.00%","1","1","100.00%","0","0","0.00%","Never Blocked","",""
"A1QRX4YCTC5ADW","https://master-requester.mturk.com/workers/A1QRX4YCTC5ADW","1","0","0.00%","1","0","0.00%","1","0","0.00%","Never Blocked","",""
"A1S795QOR5VMJ5","https://master-requester.mturk.com/workers/A1S795QOR5VMJ5","1","0","0.00%","1","0","0.00%","1","0","0.00%","Never Blocked","",""
"A1VSFVHC6N3FSB","https://master-requester.mturk.com/workers/A1VSFVHC6N3FSB","1","0","0.00%","1","0","0.00%","0","0","0.00%","Never Blocked","",""
"A1YQ6PC0GBRLFY","https://master-requester.mturk.com/workers/A1YQ6PC0GBRLFY","1","0","0.00%","1","0","0.00%","1","0","0.00%","Never Blocked","",""
"A1ZNYJYOWHSQUD","https://master-requester.mturk.com/workers/A1ZNYJYOWHSQUD","1","0","0.00%","1","0","0.00%","1","0","0.00%","Never Blocked","",""
"A249EWKM1EOARK","https://master-requester.mturk.com/workers/A249EWKM1EOARK","1","1","100.00%","1","1","100.00%","0","0","0.00%","Never Blocked","",""
"A2DH4G39VD8L2U","https://master-requester.mturk.com/workers/A2DH4G39VD8L2U","1","1","100.00%","1","1","100.00%","0","0","0.00%","Never Blocked","",""
"A2DLH5XGBNYXWS","https://master-requester.mturk.com/workers/A2DLH5XGBNYXWS","1","1","100.00%","1","1","100.00%","0","0","0.00%","Never Blocked","",""
"A2E1GWCDFUAZA3","https://master-requester.mturk.com/workers/A2E1GWCDFUAZA3","1","0","0.00%","1","0","0.00%","1","0","0.00%","Never Blocked","",""
"A2EZ03T4LNMFSZ","https://master-requester.mturk.com/workers/A2EZ03T4LNMFSZ","1","0","0.00%","1","0","0.00%","1","0","0.00%","Never Blocked","",""
"A2GREARJHXCC1S","https://master-requester.mturk.com/workers/A2GREARJHXCC1S","1","0","0.00%","1","0","0.00%","0","0","0.00%","Never Blocked","",""
"A2IDLEC56128MF","https://master-requester.mturk.com/workers/A2IDLEC56128MF","1","0","0.00%","1","0","0.00%","1","0","0.00%","Never Blocked","",""
"A2QG1N2LFV0VXW","https://master-requester.mturk.com/workers/A2QG1N2LFV0VXW","1","0","0.00%","1","0","0.00%","1","0","0.00%","Never Blocked","",""
